customer_id,Name,Gender,Age,Email,preferences,,purchase History,Interactions,,,
c1,John  ,Male,19,john@example.com  ,"[""Electronics"", ""Books""]",,"Smartphone X, Running Shoes",Inquiry about warranty for a smartphone,,,
c2,Michael  ,Male,21,michael@example.com  ,"[""Toys"", ""Electronics""]",,"Laptop, Kitchen Blender",Feedback on delayed delivery of a laptop,,,
c3 ,Sarah  ,Female,20,sarah@example.com  ,"[""Electronics"", ""Home Appliances""]",,"Camera, Tent",Complaint about damaged product packaging,,,
c4,David  ,Male,22,david@example.com  ,"[""Books"", ""Sports""]",,"Travel Backpack, Book A",Question about compatibility of headphones with a tablet,,,
c5 ,Emily  ,Female,23,emily@example.com  ,"[""Books"", ""Sports""]",,"Smartwatch, Plant Pot",Request for a product exchange (wrong size shoes),,,
c6,Ashley  ,Female,22,ashley@example.com  ,"[""Books"", ""Beauty""]",,"Fitness Tracker, Yoga Mat",Query about setting up a home projector,,,
c7,Laura  ,Female,35,laura@example.com  ,"[""Sports"", ""Clothing""]",,"Wireless Earbuds, Gaming Chair",Feedback on excellent customer service,,,
c8,Megan  ,Female,23,megan@example.com  ,"[""Clothing"", ""Beauty""]",,"Desk Lamp, Office Chair",Complaint about missing accessories in a camera box,,,
c9,Daniel  ,Male,64,daniel@example.com  ,"[""Clothing"", ""Electronics""]",,"Coffee Maker, Ceramic Mugs",Request for installation help for a smart TV,,,
c10,Olivia  ,Female,30,olivia@example.com  ,"[""Sports"", ""Electronics""]",,"Tablet, Protective Case",Inquiry about return policy for a fitness tracker,,,
c11,David  ,Male,67,david@example.com  ,"[""Clothing"", ""Electronics""]",,"Headphones, Vinyl Records",Feedback on the quality of a coffee maker,,,
c12,Emma  ,Female,35,emma@example.com  ,"[""Electronics"", ""Toys""]",,"Smart TV, Soundbar",Question about the availability of a discontinued product,,,
c13,Chloe  ,Female,58,chloe@example.com  ,"[""Beauty"", ""Electronics""]",,"Air Purifier, Essential Oils",Complaint about a defective smartwatch,,,
c14,Grace  ,Female,24,grace@example.com  ,"[""Clothing"", ""Books""]",,"Action Camera, Drone",Inquiry about bulk purchase discounts,,,
c15,Robert  ,Male,37,robert@example.com  ,"[""Automotive"", ""Books""]",,"Hiking Boots, Portable Stove",Request for product recommendations for a hiking trip,,,
c16,Thomas  ,Male,22,thomas@example.com  ,"[""Toys"", ""Sports""]",,"Winter Jacket, Thermal Socks",Feedback on an intuitive website user experience,,,
c17,Hannah  ,Female,35,hannah@example.com  ,"[""Home & Kitchen"", ""Toys""]",,"Smartphone Y, Power Bank",Query about tracking a late delivery,,,
c18,James  ,Male,20,james@example.com  ,"[""Electronics"", ""Beauty""]",,"Wireless Router, Ethernet Cable",Complaint about incorrect billing amount,,,
c19,Anthony  ,Male,52,anthony@example.com  ,"[""Clothing"", ""Home & Kitchen""]",,"eBook Reader, Bookshelf",Question about redeeming reward points,,,
c20,Sophia  ,Female,35,sophia@example.com  ,"[""Home & Kitchen"", ""Books""]",,"Drawing Tablet, Stylus",Request for a replacement power bank,,,
c21,Brian  ,Male,35,brian@example.com  ,"[""Beauty"", ""Home & Kitchen""]",,"Hair Dryer, Skincare Products",Feedback on quick resolution of a past complaint,,,
c22,Andrew  ,Male,25,andrew@example.com  ,"[""Electronics"", ""Home & Kitchen""]",,"Gaming Console, Controllers",Inquiry about the latest smartphone models,,,
c23,Victoria  ,Female,46,victoria@example.com  ,"[""Furniture"", ""Sports""]",,"Bicycle, Helmet",Complaint about a malfunctioning electric kettle,,,
c24,Matthew  ,Male,31,matthew@example.com  ,"[""Home Appliances"", ""Furniture""]",,"Water Bottle, Sports Towel",Feedback on the durability of a travel backpack,,,
c25,Elizabeth  ,Female,54,elizabeth@example.com  ,"[""Electronics"", ""Furniture""]",,"Electric Toothbrush, Toothpaste",Request for assembling instructions for an office chair,,,
c26,Kevin  ,Male,29,kevin@example.com  ,"[""Home & Garden"", ""Toys""]",,"Juicer, Fresh Fruit Box",Question about eco-friendly product options,,,
c27,Abigail  ,Female,45,abigail@example.com  ,"[""Home & Garden"", ""Beauty""]",,"DSLR Camera, Tripod",Complaint about an unresponsive gaming console,,,
c28,Mark  ,Male,35,mark@example.com  ,"[""Automotive"", ""Furniture""]",,"Electric Kettle, Tea Sampler",Feedback on the comfort of running shoes,,,
